,0,1,2,3,4,5,6,7,8
577,intel,core,i7,8th,gen.,,,,
578,intel,core,i5-6300u,,,,,,
579,intel,core,i7,10th,gen.,,,,
580,intel,core,i9,12th,gen,,,,
581,intel,core,i5,6th,gen.,,,,
582,intel,core,i7,7th,gen,,,,
583,i5,,,,,,,,
584,amd,ryzen,,,,,,,
585,intel,core,i5-8350u,,,,,,
586,intel,core,i3,11th,gen.,,,,
587,intel,core,i5,5200,,,,,
588,intel,core,i5-8350u,,,,,,
589,intel,core,i5,6th,gen.,,,,
590,intel,core,i5-6300u,,,,,,
591,intel,core,i5,7th,gen.,,,,
592,intel,core,i5-8350u,,,,,,
593,intel,core,i5-5300u,,,,,,
